,Frame Number,Average EAR,Elapsed Time,Response,Actual Output
0,1,0.32,7.000000010748408e-07,Undefined,-1
1,2,0.29,0.08766850000000304,Undefined,-1
2,3,0.29,0.1651896000000015,Undefined,-1
3,4,0.3,0.25421020000000283,Undefined,-1
4,5,0.3,0.3278962000000014,Undefined,-1
5,7,0.33,0.4661267000000002,Undefined,-1
6,8,0.31,0.5672269000000014,Undefined,-1
7,9,0.32,0.6401390000000013,Undefined,-1
8,10,0.33,0.7118450000000003,Undefined,-1
9,11,0.34,0.7816727000000014,Undefined,-1
10,12,0.33,0.8525103000000023,Undefined,-1
11,13,0.32,0.9212274000000029,Undefined,-1
12,14,0.32,0.9908102000000021,Undefined,-1
13,15,0.33,1.0642246000000029,Undefined,-1
14,21,0.29,1.422739700000001,Undefined,-1
15,22,0.3,1.497880900000002,Undefined,-1
16,28,0.28,1.8596307000000003,Undefined,-1
17,30,0.34,1.9894928000000007,Undefined,-1
18,31,0.34,2.0614227000000014,Undefined,-1
19,32,0.33,2.135517700000001,Undefined,-1
20,33,0.32,2.210039100000003,Undefined,-1
21,35,0.34,2.336771200000001,Undefined,-1
22,36,0.35,2.4029568999999995,Undefined,-1
23,37,0.32,2.473729500000001,Undefined,-1
24,38,0.33,2.5432588000000003,Undefined,-1
25,39,0.35,2.6167598000000005,Undefined,-1
26,40,0.36,2.690139200000001,Undefined,-1
27,46,0.33,3.0310257000000007,Undefined,-1
28,47,0.33,3.1010918000000025,Undefined,-1
29,48,0.34,3.1809592,Undefined,-1
30,49,0.34,3.257314700000002,Undefined,-1
31,50,0.34,3.3307767000000013,Undefined,-1
32,51,0.31,3.407017100000001,Not Blink,-1
33,53,0.32,3.5532010000000014,Not Blink,-1
34,54,0.31,3.626564700000003,Not Blink,-1
35,55,0.3,3.7119277000000004,Not Blink,-1
36,56,0.3,3.801711400000002,Not Blink,-1
37,57,0.3,3.880580000000002,Not Blink,-1
38,58,0.31,3.9564129,Not Blink,-1
39,59,0.31,4.030102800000002,Not Blink,-1
40,60,0.32,4.100035100000003,Not Blink,-1
41,61,0.32,4.186724700000003,Not Blink,-1
42,62,0.29,4.261289300000001,Not Blink,-1
43,63,0.28,4.336055000000002,Blink,-1
44,64,0.26,4.412888500000001,Blink,-1
45,65,0.27,4.482699,Blink,-1
46,67,0.32,4.621760000000002,Not Blink,-1
47,70,0.32,4.814935200000001,Not Blink,-1
48,71,0.33,4.884980600000002,Not Blink,-1
49,73,0.31,5.015403900000003,Not Blink,-1
50,75,0.34,5.161170500000001,Not Blink,-1
51,76,0.33,5.242727200000001,Not Blink,-1
52,78,0.32,5.381347100000003,Not Blink,-1
53,80,0.32,5.5128378,Not Blink,-1
54,81,0.3,5.582830700000002,Not Blink,-1
55,82,0.25,5.658473400000002,Blink,-1
56,83,0.31,5.728947100000003,Not Blink,-1
57,84,0.31,5.807326700000001,Not Blink,-1
58,85,0.3,5.883700300000001,Not Blink,-1
59,86,0.29,5.960263400000002,Not Blink,-1
60,87,0.29,6.029848900000001,Not Blink,-1
61,88,0.31,6.1017537,Not Blink,-1
62,89,0.31,6.1714400000000005,Not Blink,-1
63,90,0.3,6.245822500000003,Not Blink,-1
64,91,0.32,6.321199500000002,Not Blink,-1
65,93,0.32,6.4620146,Not Blink,-1
66,95,0.29,6.613377800000002,Not Blink,-1
67,96,0.32,6.6903383000000005,Not Blink,-1
68,97,0.3,6.771727300000002,Not Blink,-1
69,98,0.3,6.8474048,Not Blink,-1
70,99,0.31,6.925332000000001,Not Blink,-1
71,100,0.29,7.007598700000003,Not Blink,-1
72,101,0.29,7.0824614,Not Blink,-1
73,102,0.29,7.162324400000003,Not Blink,-1
74,103,0.32,7.247693100000003,Not Blink,-1
75,104,0.28,7.324576100000002,Blink,-1
76,105,0.31,7.4026396000000005,Not Blink,-1
77,106,0.32,7.482075700000003,Not Blink,-1
78,107,0.29,7.5553396,Not Blink,-1
79,108,0.29,7.6317393,Not Blink,-1
80,109,0.28,7.707112800000001,Blink,-1
81,110,0.27,7.7886665000000015,Blink,-1
82,111,0.3,7.871510400000002,Not Blink,-1
83,112,0.26,7.953659300000002,Blink,-1
84,114,0.27,8.082544800000004,Blink,-1
85,115,0.29,8.164590100000002,Not Blink,-1
86,116,0.3,8.241131499999998,Not Blink,-1
87,117,0.31,8.3214158,Not Blink,-1
88,118,0.33,8.394961500000004,Not Blink,-1
89,120,0.35,8.525511500000004,Not Blink,-1
90,121,0.34,8.597179900000004,Not Blink,-1
91,122,0.31,8.670247800000002,Not Blink,-1
92,123,0.34,8.745462300000003,Not Blink,-1
93,124,0.34,8.820048500000002,Not Blink,-1
94,126,0.33,8.956766300000002,Not Blink,-1
95,127,0.32,9.031837300000003,Not Blink,-1
96,128,0.31,9.1139738,Not Blink,-1
97,129,0.31,9.194212699999998,Not Blink,-1
98,130,0.32,9.271810500000004,Not Blink,-1
99,131,0.32,9.342931799999999,Not Blink,-1
100,134,0.32,9.5383289,Not Blink,-1
101,135,0.26,9.611325400000002,Blink,-1
102,136,0.26,9.6865542,Blink,-1
103,140,0.34,9.928932,Not Blink,-1
104,141,0.31,9.9962007,Not Blink,-1
105,146,0.32,10.303065200000002,Not Blink,-1
106,147,0.32,10.369546600000003,Not Blink,-1
107,152,0.35,10.6834892,Not Blink,-1
108,155,0.33,10.865531399999998,Not Blink,-1
109,157,0.3,10.999191400000004,Not Blink,-1
110,158,0.32,11.066489200000003,Not Blink,-1
111,161,0.33,11.257921400000004,Not Blink,-1
112,163,0.33,11.401091600000004,Not Blink,-1
113,165,0.33,11.533044700000001,Not Blink,-1
114,166,0.33,11.6088305,Not Blink,-1
115,167,0.3,11.6852257,Not Blink,-1
116,169,0.31,11.8340225,Not Blink,-1
117,170,0.3,11.9182965,Not Blink,-1
118,172,0.29,12.0551408,Not Blink,-1
119,173,0.31,12.124551,Not Blink,-1
120,174,0.3,12.200223300000001,Not Blink,-1
121,175,0.3,12.287727800000003,Not Blink,-1
122,177,0.29,12.437945199999998,Not Blink,-1
123,180,0.3,12.657932800000001,Not Blink,-1
124,181,0.25,12.728159200000004,Blink,-1
125,182,0.27,12.8072057,Blink,-1
126,183,0.27,12.880492499999999,Blink,-1
127,184,0.3,12.9562919,Not Blink,-1
128,187,0.32,13.1458902,Not Blink,-1
129,189,0.32,13.2786175,Not Blink,-1
130,190,0.33,13.352338400000004,Not Blink,-1
131,192,0.32,13.4833897,Not Blink,-1
132,193,0.36,13.562216199999998,Not Blink,-1
133,194,0.33,13.635099700000001,Not Blink,-1
134,195,0.33,13.7175494,Not Blink,-1
135,196,0.35,13.8045565,Not Blink,-1
136,197,0.34,13.8876661,Not Blink,-1
137,198,0.34,13.962146100000002,Not Blink,-1
138,199,0.34,14.034104000000003,Not Blink,-1
139,200,0.33,14.1174419,Not Blink,-1
140,201,0.34,14.200515300000003,Not Blink,-1
141,202,0.32,14.283718000000004,Not Blink,-1
142,203,0.34,14.357037200000004,Not Blink,-1
143,206,0.3,14.558939800000001,Not Blink,-1
144,208,0.32,14.701649800000002,Not Blink,-1
145,209,0.34,14.778142800000001,Not Blink,-1
146,210,0.34,14.854690700000003,Not Blink,-1
147,211,0.33,14.9408341,Not Blink,-1
148,212,0.34,15.019926600000002,Not Blink,-1
149,213,0.25,15.107946000000002,Blink,-1
150,214,0.27,15.195709699999998,Blink,-1
151,215,0.33,15.274363099999999,Not Blink,-1
152,222,0.34,15.687064100000004,Not Blink,-1
153,227,0.29,15.985688,Not Blink,-1
154,228,0.35,16.061433400000002,Not Blink,-1
155,229,0.33,16.1299685,Not Blink,-1
156,230,0.31,16.206109800000004,Not Blink,-1
157,234,0.34,16.469799599999998,Not Blink,-1
158,235,0.36,16.542528200000003,Not Blink,-1
159,238,0.32,16.728977699999998,Not Blink,-1
160,239,0.33,16.802849900000002,Not Blink,-1
161,240,0.32,16.8792207,Not Blink,-1
162,242,0.32,17.0069233,Not Blink,-1
163,243,0.33,17.0753139,Not Blink,-1
164,245,0.33,17.204419400000003,Not Blink,-1
165,246,0.3,17.2789476,Not Blink,-1
166,247,0.3,17.353659600000004,Not Blink,-1
167,250,0.31,17.542990800000002,Not Blink,-1
168,251,0.31,17.611806400000003,Not Blink,-1
169,253,0.33,17.749622500000005,Not Blink,-1
170,255,0.34,17.8918664,Not Blink,-1
171,257,0.31,18.0241748,Not Blink,-1
172,258,0.32,18.091408500000004,Not Blink,-1
173,259,0.32,18.165628,Not Blink,-1
174,260,0.31,18.241805100000004,Not Blink,-1
175,265,0.33,18.559350900000002,Not Blink,-1
176,266,0.32,18.6272117,Not Blink,-1
177,268,0.31,18.7542171,Not Blink,-1
178,269,0.3,18.8263226,Not Blink,-1
179,270,0.31,18.900076000000002,Not Blink,-1
180,271,0.3,18.9743752,Not Blink,-1
181,272,0.35,19.0491736,Not Blink,-1
182,273,0.32,19.1245493,Not Blink,-1
183,274,0.31,19.200666299999998,Not Blink,-1
184,275,0.3,19.285540900000004,Not Blink,-1
185,276,0.31,19.377074699999998,Not Blink,-1
186,277,0.3,19.453946500000004,Not Blink,-1
187,278,0.3,19.533156800000004,Not Blink,-1
188,279,0.29,19.606745400000005,Not Blink,-1
189,280,0.28,19.6796226,Blink,-1
190,281,0.29,19.7560447,Not Blink,-1
191,282,0.29,19.8371411,Not Blink,-1
192,283,0.31,19.9166488,Not Blink,-1
193,284,0.32,19.996171800000003,Not Blink,-1
194,285,0.33,20.078282500000004,Not Blink,-1
195,286,0.32,20.160112299999998,Not Blink,-1
196,288,0.31,20.317623800000003,Not Blink,-1
197,289,0.31,20.3886285,Not Blink,-1
198,292,0.3,20.587536500000002,Not Blink,-1
199,293,0.32,20.6723294,Not Blink,-1
200,294,0.31,20.746632700000003,Not Blink,-1
201,295,0.31,20.831047700000003,Not Blink,-1
202,297,0.3,20.961609,Not Blink,-1
203,298,0.32,21.032677100000004,Not Blink,-1
204,299,0.31,21.1062397,Not Blink,-1
205,300,0.3,21.177413599999998,Not Blink,-1
206,301,0.32,21.257877699999998,Not Blink,-1
207,302,0.31,21.342396600000004,Not Blink,-1
208,303,0.29,21.4171055,Not Blink,-1
209,304,0.3,21.506572000000002,Not Blink,-1
210,305,0.31,21.5801785,Not Blink,-1
211,306,0.32,21.659102,Not Blink,-1
212,307,0.33,21.7337229,Not Blink,-1
213,308,0.33,21.823090699999998,Not Blink,-1
214,309,0.31,21.900689600000003,Not Blink,-1
215,310,0.31,21.9804779,Not Blink,-1
216,311,0.29,22.0704478,Not Blink,-1
217,312,0.32,22.1644156,Not Blink,-1
218,313,0.29,22.2480528,Not Blink,-1
219,314,0.27,22.324366100000002,Blink,-1
220,315,0.31,22.397386700000002,Not Blink,-1
221,316,0.29,22.473056700000004,Not Blink,-1
222,317,0.28,22.5583973,Blink,-1
223,318,0.29,22.644750500000004,Not Blink,-1
224,319,0.31,22.727762800000004,Not Blink,-1
225,320,0.31,22.815095700000004,Not Blink,-1
226,321,0.27,22.8944223,Blink,-1
227,322,0.29,22.9837722,Not Blink,-1
228,323,0.28,23.0750524,Blink,-1
229,324,0.31,23.1568505,Not Blink,-1
230,325,0.27,23.2373162,Blink,-1
231,326,0.28,23.3338675,Blink,-1
232,327,0.27,23.421691,Blink,-1
233,328,0.29,23.504368000000003,Not Blink,-1
234,329,0.29,23.581633900000003,Not Blink,-1
235,330,0.27,23.658837600000002,Blink,-1
236,331,0.31,23.735912700000004,Not Blink,-1
237,332,0.28,23.820687100000004,Blink,-1
238,333,0.31,23.911048400000002,Not Blink,-1
239,334,0.31,23.9902062,Not Blink,-1
240,335,0.28,24.0761195,Blink,-1
241,336,0.26,24.1548603,Blink,-1
242,337,0.29,24.2311144,Not Blink,-1
243,338,0.27,24.3125733,Blink,Some Signs of sleepiness
244,339,0.27,24.402134300000004,Blink,-1
245,340,0.29,24.497669300000002,Not Blink,-1
246,341,0.29,24.570448800000005,Not Blink,-1
247,342,0.28,24.645377200000002,Blink,-1
248,343,0.33,24.728759800000002,Not Blink,-1
249,344,0.32,24.809188600000002,Not Blink,-1
250,345,0.32,24.899741200000005,Not Blink,-1
251,346,0.31,24.977164,Not Blink,-1
252,347,0.33,25.052083,Not Blink,-1
253,348,0.31,25.1304525,Not Blink,-1
254,349,0.35,25.2059089,Not Blink,-1
255,350,0.33,25.281034299999998,Not Blink,-1
256,351,0.31,25.363385500000003,Not Blink,-1
257,352,0.31,25.4406621,Not Blink,-1
258,353,0.3,25.516246300000002,Not Blink,-1
259,354,0.3,25.604392200000003,Not Blink,-1
260,355,0.28,25.682260100000004,Blink,-1
261,356,0.3,25.7696515,Not Blink,-1
262,357,0.31,25.8418885,Not Blink,-1
263,358,0.32,25.9244289,Not Blink,-1
264,359,0.33,26.0105027,Not Blink,-1
265,360,0.3,26.0876426,Not Blink,-1
266,361,0.29,26.166578000000005,Not Blink,-1
267,362,0.32,26.247201300000004,Not Blink,-1
268,363,0.3,26.325729,Not Blink,-1
269,364,0.3,26.4084015,Not Blink,-1
270,365,0.34,26.4925112,Not Blink,-1
271,366,0.31,26.5661211,Not Blink,-1
272,367,0.3,26.641957700000003,Not Blink,-1
273,368,0.31,26.713302800000005,Not Blink,-1
274,369,0.32,26.7901829,Not Blink,-1
275,370,0.3,26.863260200000003,Not Blink,-1
276,371,0.3,26.934526100000003,Not Blink,-1
277,372,0.33,27.014397500000005,Not Blink,-1
278,373,0.32,27.090388700000002,Not Blink,-1
279,374,0.33,27.168050500000003,Not Blink,-1
280,375,0.33,27.247156999999998,Not Blink,-1
281,376,0.3,27.3349261,Not Blink,-1
282,377,0.33,27.4110269,Not Blink,-1
283,378,0.31,27.488940000000003,Not Blink,-1
284,379,0.3,27.563815100000003,Not Blink,-1
285,380,0.33,27.637140500000005,Not Blink,-1
286,381,0.3,27.7145715,Not Blink,-1
287,382,0.34,27.827565600000003,Not Blink,-1
288,383,0.33,27.918084699999998,Not Blink,-1
289,384,0.31,28.0075217,Not Blink,-1
290,385,0.32,28.0891956,Not Blink,-1
291,386,0.3,28.1687402,Not Blink,-1
292,387,0.3,28.249367100000004,Not Blink,-1
293,388,0.3,28.328150600000004,Not Blink,-1
294,389,0.32,28.418006000000002,Not Blink,-1
295,390,0.33,28.493224700000003,Not Blink,-1
296,391,0.31,28.5684589,Not Blink,-1
297,392,0.3,28.6447393,Not Blink,-1
298,393,0.31,28.7186591,Not Blink,-1
299,394,0.33,28.797799800000004,Not Blink,-1
300,395,0.33,28.8777571,Not Blink,-1
301,396,0.3,28.9595352,Not Blink,-1
302,397,0.31,29.0337037,Not Blink,-1
303,398,0.3,29.112311899999998,Not Blink,-1
304,399,0.33,29.1865182,Not Blink,-1
305,401,0.3,29.314102600000002,Not Blink,-1
306,402,0.32,29.4068424,Not Blink,-1
307,404,0.31,29.5443928,Not Blink,-1
308,406,0.33,29.669946,Not Blink,-1
309,409,0.31,29.8522942,Not Blink,-1
310,410,0.33,29.9272527,Not Blink,-1
311,411,0.3,30.0043701,Not Blink,-1
312,412,0.28,30.080307700000002,Blink,-1
313,413,0.29,30.1590599,Not Blink,-1
314,414,0.3,30.2329282,Not Blink,-1
315,415,0.29,30.3115519,Not Blink,-1
316,416,0.28,30.392628300000002,Blink,-1
317,418,0.27,30.5454895,Blink,-1
318,419,0.3,30.631848899999998,Not Blink,-1
319,420,0.31,30.706467900000003,Not Blink,-1
320,421,0.32,30.779044600000002,Not Blink,-1
321,422,0.33,30.8523898,Not Blink,-1
322,423,0.33,30.963343500000004,Not Blink,-1
323,424,0.31,31.042790400000005,Not Blink,-1
324,425,0.27,31.120362500000002,Blink,-1
325,428,0.24,31.311445600000003,Blink,-1
326,437,0.36,31.859800100000005,Not Blink,-1
327,438,0.36,31.947011900000003,Not Blink,-1
328,439,0.38,32.026739000000006,Not Blink,-1
